brand,avg_price,median_price,price_std,product_count,avg_rating,total_reviews
Tripp Lite,149.0,149.0,,1,4.5,1096.0
Yealink,143.45,143.45,50.28,2,4.25,236.0
HollyView,139.0,139.0,,1,4.6,1125.0
FYIOGXG,130.33,130.33,,1,4.5,713.5
reMarkable,129.0,129.0,,1,4.5,232.0
vnilrgle,119.98,119.98,,1,5.0,103.0
Audio-Technica,119.0,119.0,,1,4.7,14344.0
PAIYULE,110.5,110.5,,1,4.6,1515.0
DJI,107.9,107.9,,1,4.5,18258.0
Tuceng,94.99,94.99,,1,4.5,37.0
TRUE IMAGE,89.99,89.99,,1,4.6,346.0
BoostHome,79.99,79.99,,1,3.3,25.0
LETORS,79.99,79.99,,1,4.1,216.0
CELTICBIRD,78.99,78.99,,1,4.2,43.0
abxylute,74.99,74.99,,1,4.5,418.0
Poly,70.0,70.0,,1,4.2,22980.0
Masterplug,69.99,69.99,,1,4.6,3568.0
Google,69.98,69.98,,1,4.4,332.0
NEEWER,64.99,67.99,52.19,4,4.57,5290.0
KeyLine Chargers,64.87,64.87,,1,4.6,218.0
Generic,63.17,31.48,75.98,4,4.58,2150.5
HP,61.64,34.89,60.1,4,4.7,108015.0
Ruikarhop,59.99,59.99,,1,4.5,222.0
Insta360,59.99,59.99,,1,4.5,713.5
Fuzbaxy,59.18,59.18,,1,5.0,1.0
NP99sp,57.95,57.95,,1,3.8,86.0
Epson,56.64,56.64,10.82,2,4.7,7843.0
EasySMX,53.99,53.99,,1,4.0,1808.0
BSEED,52.99,52.99,,1,4.7,1633.0
Ultimaxx,49.99,49.99,,1,4.1,19.0
VONETTI,49.99,49.99,,1,4.4,125.0
Garmin,49.99,49.99,56.57,2,4.7,3618.0
Peak Design,49.95,49.95,,1,4.5,13.0
Joby,49.95,49.95,0.0,2,4.6,7956.0
debous,48.99,48.99,,1,4.5,79.0
HumanCentric,44.99,44.99,,1,4.6,1556.0
Zelnoox,39.99,39.99,,1,4.7,94.0
Hollamile,39.99,39.99,,1,3.7,250.0
Wrapsure,39.15,39.15,,1,4.6,361.0
TOKYOINK,36.99,36.99,,1,4.2,2560.0
Sony,36.61,36.61,10.42,2,4.55,4362.0
XAMOREST,35.99,35.99,,1,4.4,9.0
HERKKA,35.99,35.99,,1,4.6,333.0
Xyron,35.98,35.98,,1,4.7,2308.0
Cokin,34.99,34.99,,1,4.3,472.0
GREATRIL,32.99,32.99,,1,4.6,8259.0
XINBAOHONG,32.99,32.99,,1,4.3,4061.0
RAINSMORE,32.99,32.99,,1,4.6,269.0
FIFINE,32.99,32.99,,1,4.6,12953.0
MotoRadds,32.95,32.95,,1,4.2,811.0
Bulletpoint,31.99,31.99,,1,4.3,12.0
K&F Concept,31.4,26.53,23.24,3,4.57,1659.0
Wild Cedar,30.99,30.99,,1,4.1,26.0
Celestron,29.99,29.99,,1,4.6,1999.0
CYJJZQ,29.99,29.99,,1,4.3,13.0
ECHOMUSSY,29.98,29.98,,1,4.4,230.0
HEMMOTOP,28.99,28.99,,1,4.8,1495.0
1ST IDEA,28.79,28.79,,1,4.2,56.0
Gikysuiz,28.66,28.66,,1,4.1,25.0
Uogw,26.99,26.99,,1,4.4,372.0
Saysurey,26.99,26.99,,1,5.0,2.0
starboosa,26.01,26.01,,1,4.4,422.0
tomtoc,25.99,25.99,,1,4.8,2468.0
Adoccur,25.98,25.98,,1,4.4,1342.0
VANMASS,25.97,25.97,,1,4.4,17103.0
Huatsing,24.99,24.99,,1,4.1,245.0
ULANZI,24.99,24.99,,1,4.8,5.0
USX MOUNT,24.99,24.99,,1,4.7,10512.0
GardTok,24.99,24.99,,1,4.8,382.0
NuIth,24.99,24.99,,1,4.0,18.0
MOUDOAUER,24.99,24.99,,1,5.0,713.5
aiMaKE,23.99,23.99,,1,4.6,25.0
Mahensy,23.75,23.75,,1,3.5,23.0
TESSAN,22.99,22.99,0.0,2,4.8,19083.0
casmilee,22.99,22.99,,1,4.6,241.0
BM Premium,22.99,22.99,,1,4.6,589.0
STARTRC PHOTO,22.49,22.49,10.61,2,4.75,26.0
EARTEC,22.0,22.0,,1,4.6,242.0
LJINGE,21.99,21.99,,1,4.2,1472.0
PIXEL,21.99,21.99,,1,4.1,776.0
L LTGEM,21.99,21.99,,1,4.5,262.0
Bliksem,21.24,21.24,,1,4.5,7115.0
GE,20.99,20.99,9.13,2,4.8,44298.0
Aenllosi,20.99,20.99,,1,4.8,261.0
DGQ,20.89,20.89,,1,4.4,157.0
Opticron,20.0,20.0,,1,3.8,115.0
Relaxweex,19.99,19.99,,1,4.4,48.0
Vinich,19.99,19.99,,1,4.5,120.0
ECHOGEAR,19.99,19.99,,1,4.6,240.0
MAITER,19.96,19.96,,1,3.4,100.0
Kastar,19.49,19.49,6.36,2,4.4,543.0
UES,19.0,19.0,,1,4.7,3902.0
Dracutum,18.99,18.99,,1,4.1,464.0
Imation,18.99,18.99,,1,4.5,105.0
Scosche,18.49,18.49,4.95,2,4.55,1000.0
HUOTO,17.99,17.99,,1,4.4,5045.0
HOLACA,17.99,17.99,,1,3.5,2.0
GETPALS,17.97,17.97,,1,4.3,24196.0
Art Tribute,17.95,17.95,,1,4.7,11686.0
Harmony Audio,17.95,17.95,5.66,2,4.55,679.0
BSTW,17.87,17.87,,1,4.5,407.0
NUOYITKJ,17.34,17.34,,1,4.4,444.0
Skar Audio,17.3,17.3,,1,4.7,874.0
KENHAO,16.99,16.99,,1,4.6,5164.0
Pickle Power,16.99,16.99,,1,4.5,647.0
TEAMGROUP,16.99,16.99,,1,4.6,11244.0
YesBes,16.99,16.99,,1,4.5,45.0
sound-way,16.9,16.9,,1,4.0,420.0
Hodeoo,16.58,16.58,,1,4.4,42.0
Think Tank,16.09,16.09,0.0,2,4.5,482.0
YCCLDIPL,15.99,15.99,,1,5.0,5.0
JOYROOM,15.99,15.99,,1,4.6,720.0
Sky High Car Audio,15.49,15.49,10.61,2,4.35,54.0
Bibabala,15.47,15.47,,1,4.0,2.0
HeyMoonTong,15.29,15.29,,1,4.4,524.0
SureCall,14.99,14.99,,1,3.7,1588.0
Elevation Lab,14.99,14.99,,1,4.6,4506.0
CMVFYL,14.99,14.99,,1,4.5,175.0
Orangefittings,14.99,14.99,,1,5.0,713.5
XANAD,14.99,14.99,,1,4.4,162.0
Eyeskey,14.99,14.99,,1,4.3,291.0
JBL,14.99,14.99,0.0,2,4.8,55273.0
Fuse,14.99,14.99,,1,4.5,1471.0
StickyGrippy,14.99,14.99,,1,3.6,336.0
ANROFA,14.99,14.99,,1,4.2,98.0
Rigdance,14.99,14.99,,1,4.7,23.0
HIZEMLK,14.99,14.99,,1,4.3,58.0
Anker,14.48,14.48,3.54,2,4.65,91980.0
BRDRC,14.39,14.39,,1,4.4,244.0
Bose,14.24,14.24,,1,4.7,6080.0
Kiorafoto,13.99,13.99,,1,4.4,1681.0
HTVRONT,13.99,13.99,,1,4.5,749.0
Nelko,13.99,13.99,,1,4.7,707.0
TERSUM,13.58,13.58,,1,4.3,188.0
GUWEZ,13.49,13.49,,1,4.4,3538.0
Selens,12.99,12.99,,1,4.4,37.0
JOYTUTUS,12.99,12.99,,1,4.2,1016.0
LNKERCO,12.99,12.99,,1,4.5,32.0
JLZNLC,12.99,12.99,,1,5.0,7.0
LOVK,12.98,12.98,,1,4.3,1461.0
Movo,12.95,12.95,,1,4.4,629.0
walrfid,12.91,12.91,,1,4.5,1006.0
ZEZEFUFU,12.75,12.75,2.49,2,5.0,715.5
SGEOYPIL,11.99,11.99,,1,4.0,4.0
olcorife,11.99,11.99,2.83,2,4.7,8263.0
GOBOBIOK,11.99,11.99,,1,4.5,162.0
EZ-GLAZ,11.98,11.98,,1,4.5,9299.0
JJC,11.86,11.74,2.17,4,4.5,2143.0
Amazon Basics,11.66,11.66,,1,4.7,41673.0
Tisino,11.39,11.39,,1,4.6,5277.0
SPYPOINT,11.04,11.04,,1,4.6,891.0
Immuson,10.79,10.79,,1,4.8,2411.0
YISHU,10.49,10.49,0.71,2,4.65,44417.0
CITYWAY,10.49,10.49,,1,4.6,205.0
FlyLong,10.29,10.29,,1,4.8,65.0
Sunmns,9.99,9.99,,1,4.7,487.0
suptek,9.99,9.99,,1,4.5,1184.0
Suoman,9.99,9.99,,1,4.2,232.0
echinff,9.99,9.99,,1,4.7,166.0
TANTTI,9.99,9.99,,1,4.6,1257.0
YUWAKAYI,9.99,9.99,,1,4.3,25679.0
XIAWAO,9.99,9.99,,1,4.5,6737.0
WANBY,9.99,9.99,,1,4.4,686.0
Uvital,9.99,9.99,,1,4.3,7462.0
Liphisy,9.99,9.99,,1,4.5,2800.0
Nuozme,9.99,9.99,,1,4.3,117.0
JUDKIOM,9.99,9.99,,1,4.3,1966.0
SVBONY,9.99,9.99,,1,4.5,141.0
Elonbo,9.99,9.99,,1,4.8,376.0
Citelect,9.99,9.99,,1,4.4,12047.0
Haoge,9.99,9.99,,1,4.5,112.0
LOLStar,9.99,9.99,0.0,2,4.5,4022.0
Alestor,9.99,9.99,,1,4.8,46887.0
Delamu,9.99,9.99,,1,4.6,3724.0
BLEBLE,9.99,9.99,,1,4.4,1423.0
LENRUE,9.99,9.99,,1,4.4,403.0
Lamicall,9.99,9.99,,1,4.5,13147.0
One Beat,9.99,9.99,,1,4.5,1387.0
OMOTON,9.99,9.99,,1,4.8,5581.0
Amazon Renewed,9.97,9.97,,1,4.4,13.0
Panasonic,9.95,9.95,,1,4.6,6809.0
Lanrxs,9.9,9.9,,1,4.4,11.0
NATEFEMIN,9.88,9.88,,1,5.0,713.5
QBLPOWER,9.75,9.75,,1,4.6,641.0
Elite Batteries,9.47,9.47,,1,4.9,19.0
Yecaye,9.32,8.99,0.58,3,4.53,48312.0
Keabroir,8.99,8.99,,1,5.0,3.0
Sinjimoru,8.99,8.99,,1,4.1,8504.0
WOCORUO,8.99,8.99,,1,4.6,1731.0
XINGO,8.99,8.99,,1,4.7,2889.0
Geyoga,8.99,8.99,,1,4.4,583.0
Apple,8.99,8.99,,1,4.7,2922.0
FOTGA,8.99,8.99,,1,5.0,7.0
Teskyer,8.99,8.99,,1,4.8,21.0
Yonlevres,8.99,8.99,,1,4.4,1783.0
i-Tensodo,8.99,8.99,,1,4.2,713.5
RetailAndBulk,8.99,8.99,,1,4.6,2443.0
ChromLives,8.99,8.99,,1,4.2,2116.0
FocusFoto,8.98,8.98,,1,4.6,434.0
RAM MOUNTS,8.49,8.49,,1,4.7,3677.0
LUOSIKE,7.99,7.99,,1,4.6,3226.0
HMROPE,7.99,7.99,,1,4.3,9986.0
ULBTER,7.98,7.98,0.01,2,4.6,4450.0
iMah,7.95,7.95,,1,4.6,10806.0
Doormoon,7.94,7.94,1.35,2,4.45,5127.0
Kruta,7.94,7.94,1.34,2,4.55,15057.0
Scotch,7.74,7.74,3.17,2,4.75,6563.0
Spigen,7.7,7.7,,1,4.4,8045.0
HUIPUXIANG,7.69,7.69,,1,4.5,127.0
ENEGON,7.59,7.59,,1,4.7,5084.0
Metra,7.5,7.5,,1,4.4,11507.0
Fotasy,7.49,7.49,,1,4.6,2453.0
HATALKIN,7.48,7.48,3.53,2,4.6,22004.0
Sqrmekoko,6.99,6.99,,1,4.5,54.0
MUXA,6.99,6.99,,1,4.6,2510.0
Suptig,6.99,6.99,,1,4.7,5188.0
MenoSupp,6.99,6.99,,1,4.3,10328.0
Deluxe Batteries,6.99,6.99,,1,4.8,45.0
Mupoer,6.98,6.98,,1,4.5,2185.0
Rainy King,6.47,6.47,,1,4.6,1236.0
NECABLES,6.39,6.39,0.0,2,4.4,996.0
THE BIRCH & CO. BRAND,6.39,6.39,,1,4.7,293.0
Uinkit,6.39,6.39,,1,4.6,889.0
RUGLAMZHIP,6.28,6.28,,1,4.7,337.0
AOHRO,5.99,5.99,,1,4.2,299.0
Wuitaouy,5.99,5.99,,1,4.4,12.0
QDiShi,5.98,5.98,,1,4.3,511.0
DDJ,5.94,5.94,,1,4.6,10208.0
Ferilinso,5.82,5.82,,1,4.3,23712.0
JJUNW,5.79,5.79,,1,4.1,28.0
LOVYONES,5.38,5.38,,1,4.7,1162.0
xiwxi,5.03,5.03,,1,4.6,7804.0
BOHUIZ,4.99,4.99,,1,4.4,713.5
DLENP,4.99,4.99,,1,4.5,7878.0
Vesslam,4.49,4.49,,1,4.7,20.0
Karoka,3.99,3.99,,1,4.6,713.5
SanDisk,3.86,3.86,,1,4.7,8467.0
